strategy,interval,group,n,strat_mean_ret,bh_mean_ret,alpha_mean,alpha_median,strat_mean_sharpe,bh_mean_sharpe,alpha_sharpe_mean,win_vs_bh,strat_mean_mdd,bh_mean_mdd
bb_squeeze,1d,follower,93,0.1011,-0.6972,0.7984,0.7242,-0.119,-0.3115,0.1924,0.957,-0.3626,-0.8868
bb_squeeze,1d,junk,211,-0.0169,-0.1838,0.1669,0.4951,-0.1147,-0.4675,0.3528,0.7488,-0.0532,-0.6948
bb_squeeze,1d,trend,126,0.2961,-0.3884,0.6845,0.6438,-0.1039,-0.0659,-0.038,0.8571,-0.3366,-0.8544
bb_squeeze,1d,whale,30,0.0845,-0.7072,0.7917,0.6853,-0.0814,-0.0742,-0.0071,0.9667,-0.3084,-0.8939
bb_squeeze,1h,follower,93,-0.285,-0.6899,0.4049,0.5046,-0.5451,-0.2208,-0.3242,0.8925,-0.4612,-0.8936
bb_squeeze,1h,junk,211,-0.0423,-0.0942,0.0519,0.3823,-0.4526,-0.088,-0.3646,0.7204,-0.1515,-0.7281
bb_squeeze,1h,trend,126,-0.1322,-0.3756,0.2434,0.4469,-0.282,0.0077,-0.2897,0.7857,-0.4303,-0.8661
bb_squeeze,1h,whale,30,-0.1309,-0.7009,0.57,0.4875,-0.36,-0.0499,-0.3101,0.9667,-0.4417,-0.905
bb_squeeze,4h,follower,93,-0.161,-0.6882,0.5273,0.6004,-0.3372,-0.2467,-0.0905,0.914,-0.3827,-0.8919
bb_squeeze,4h,junk,211,-0.0068,-0.1056,0.0988,0.4522,-0.3677,-0.2384,-0.1292,0.7204,-0.131,-0.7171
bb_squeeze,4h,trend,126,0.0353,-0.3751,0.4104,0.5351,-0.189,-0.0042,-0.1848,0.8651,-0.3806,-0.8628
bb_squeeze,4h,whale,30,0.0077,-0.7063,0.7141,0.6045,-0.0783,-0.0598,-0.0185,0.9667,-0.3616,-0.9025
breakout_start,1d,follower,93,0.0979,-0.6972,0.7952,0.8217,-0.0564,-0.3115,0.255,0.9462,-0.2843,-0.8868
breakout_start,1d,junk,211,0.0202,-0.1838,0.204,0.518,-0.0869,-0.4675,0.3806,0.7488,-0.0615,-0.6948
breakout_start,1d,trend,126,0.205,-0.3884,0.5933,0.6451,-0.1793,-0.0659,-0.1134,0.881,-0.2839,-0.8544
breakout_start,1d,whale,30,0.0425,-0.7072,0.7498,0.7124,-0.0968,-0.0742,-0.0226,0.9667,-0.2665,-0.8939
breakout_start,1h,follower,93,-0.1496,-0.6899,0.5403,0.5632,-0.3402,-0.2208,-0.1194,0.9355,-0.372,-0.8936
breakout_start,1h,junk,211,-0.0227,-0.0942,0.0715,0.3957,-0.3913,-0.088,-0.3032,0.7299,-0.1354,-0.7281
breakout_start,1h,trend,126,-0.021,-0.3756,0.3545,0.6246,-0.112,0.0077,-0.1197,0.8333,-0.3606,-0.8661
breakout_start,1h,whale,30,-0.0579,-0.7009,0.643,0.5489,-0.2814,-0.0499,-0.2315,1.0,-0.3718,-0.905
breakout_start,4h,follower,93,-0.1116,-0.6882,0.5766,0.6403,-0.3573,-0.2467,-0.1105,0.9355,-0.3325,-0.8919
breakout_start,4h,junk,211,-0.0121,-0.1056,0.0935,0.432,-0.3457,-0.2384,-0.1073,0.7299,-0.1082,-0.7171
breakout_start,4h,trend,126,0.0663,-0.3751,0.4414,0.5823,-0.1276,-0.0042,-0.1234,0.881,-0.3228,-0.8628
breakout_start,4h,whale,30,-0.0229,-0.7063,0.6834,0.736,-0.2367,-0.0598,-0.1769,1.0,-0.3071,-0.9025
momentum_roc,1d,follower,93,0.0697,-0.6972,0.767,0.7058,-0.0253,-0.3115,0.2861,0.957,-0.4401,-0.8868
momentum_roc,1d,junk,211,-0.0368,-0.1838,0.147,0.4433,-0.2283,-0.4675,0.2392,0.7251,-0.1244,-0.6948
momentum_roc,1d,trend,126,0.2757,-0.3884,0.6641,0.587,-0.1331,-0.0659,-0.0672,0.9048,-0.4393,-0.8544
momentum_roc,1d,whale,30,0.1528,-0.7072,0.86,0.6709,0.0693,-0.0742,0.1435,0.9667,-0.4204,-0.8939
momentum_roc,1h,follower,93,-0.2126,-0.6899,0.4773,0.5329,-0.5237,-0.2208,-0.3029,0.914,-0.3558,-0.8936
momentum_roc,1h,junk,211,-0.0233,-0.0942,0.0709,0.3997,-0.3483,-0.088,-0.2602,0.7109,-0.139,-0.7281
momentum_roc,1h,trend,126,-0.1355,-0.3756,0.2401,0.4315,-0.3671,0.0077,-0.3748,0.8175,-0.3665,-0.8661
momentum_roc,1h,whale,30,-0.145,-0.7009,0.5559,0.5887,-0.3965,-0.0499,-0.3466,0.9667,-0.3875,-0.905
momentum_roc,4h,follower,93,-0.22,-0.6882,0.4682,0.5746,-0.4265,-0.2467,-0.1798,0.9355,-0.4427,-0.8919
momentum_roc,4h,junk,211,-0.0216,-0.1056,0.0841,0.3993,-0.3426,-0.2384,-0.1042,0.7204,-0.1502,-0.7171
momentum_roc,4h,trend,126,-0.0307,-0.3751,0.3443,0.4435,-0.3028,-0.0042,-0.2986,0.8651,-0.4259,-0.8628
momentum_roc,4h,whale,30,-0.0033,-0.7063,0.703,0.6068,-0.1638,-0.0598,-0.104,0.9333,-0.4225,-0.9025
rsi_pullback,1d,follower,93,-0.0024,-0.6972,0.6949,0.807,-0.0196,-0.3115,0.2919,0.9677,-0.0026,-0.8868
rsi_pullback,1d,junk,211,-0.0018,-0.1838,0.182,0.5311,-0.0045,-0.4675,0.463,0.7536,-0.0018,-0.6948
rsi_pullback,1d,trend,126,-0.0016,-0.3884,0.3868,0.7024,-0.0188,-0.0659,0.047,0.8492,-0.0035,-0.8544
rsi_pullback,1d,whale,30,0.0052,-0.7072,0.7124,0.7085,-0.1123,-0.0742,-0.038,1.0,-0.0141,-0.8939
rsi_pullback,1h,follower,93,-0.0165,-0.6899,0.6734,0.7652,-0.3826,-0.2208,-0.1617,0.957,-0.0418,-0.8936
rsi_pullback,1h,junk,211,-0.0036,-0.0942,0.0906,0.4764,-0.3449,-0.088,-0.2568,0.7488,-0.0138,-0.7281
rsi_pullback,1h,trend,126,-0.0145,-0.3756,0.361,0.6853,-0.3889,0.0077,-0.3966,0.8571,-0.0488,-0.8661
rsi_pullback,1h,whale,30,0.0044,-0.7009,0.7053,0.7155,-0.0564,-0.0499,-0.0065,1.0,-0.0397,-0.905
rsi_pullback,4h,follower,93,-0.0221,-0.6882,0.6661,0.7635,-0.3619,-0.2467,-0.1152,0.957,-0.0398,-0.8919
rsi_pullback,4h,junk,211,-0.0027,-0.1056,0.1029,0.4948,-0.1771,-0.2384,0.0614,0.7346,-0.0104,-0.7171
rsi_pullback,4h,trend,126,-0.0106,-0.3751,0.3644,0.6865,-0.186,-0.0042,-0.1819,0.8571,-0.0385,-0.8628
rsi_pullback,4h,whale,30,0.0018,-0.7063,0.7081,0.7617,-0.0928,-0.0598,-0.033,1.0,-0.041,-0.9025
trend_follow,1d,follower,93,0.0218,-0.6972,0.7191,0.6895,-0.02,-0.3115,0.2914,0.9462,-0.3939,-0.8868
trend_follow,1d,junk,211,0.0095,-0.1838,0.1933,0.4947,-0.0201,-0.4675,0.4474,0.7678,-0.0351,-0.6948
trend_follow,1d,trend,126,0.0532,-0.3884,0.4416,0.6315,-0.0559,-0.0659,0.0099,0.8492,-0.3415,-0.8544
trend_follow,1d,whale,30,-0.0672,-0.7072,0.6401,0.6244,-0.1156,-0.0742,-0.0413,0.9667,-0.3213,-0.8939
trend_follow,1h,follower,93,-0.1716,-0.6899,0.5183,0.5668,-0.2244,-0.2208,-0.0035,0.914,-0.5024,-0.8936
trend_follow,1h,junk,211,-0.0324,-0.0942,0.0617,0.3394,-0.3607,-0.088,-0.2727,0.7251,-0.2002,-0.7281
trend_follow,1h,trend,126,0.0525,-0.3756,0.4281,0.466,-0.0801,0.0077,-0.0877,0.8413,-0.4893,-0.8661
trend_follow,1h,whale,30,0.0109,-0.7009,0.7118,0.6563,0.0451,-0.0499,0.095,0.9333,-0.4905,-0.905
trend_follow,4h,follower,93,-0.2868,-0.6882,0.4014,0.4206,-0.3692,-0.2467,-0.1225,0.8817,-0.615,-0.8919
trend_follow,4h,junk,211,-0.0202,-0.1056,0.0854,0.3821,-0.2736,-0.2384,-0.0351,0.7062,-0.2171,-0.7171
trend_follow,4h,trend,126,-0.0017,-0.3751,0.3734,0.3706,-0.1892,-0.0042,-0.185,0.8333,-0.568,-0.8628
trend_follow,4h,whale,30,-0.0546,-0.7063,0.6517,0.5165,-0.0332,-0.0598,0.0266,0.9,-0.5558,-0.9025
