asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
kr,quiet_bottom,1w,binary,0.2,0.3,26,trail20_TP30_hold26,370,67.8,16.63,-95.4,6.14,4.31,242,49.2,9.5,-94.0,3.47,2.18,-0.435
kr,quiet_bottom,1w,binary,0.2,0.4,26,trail20_TP40_hold26,370,66.8,18.71,-94.8,6.18,4.68,242,48.8,10.08,-92.5,3.45,2.25,-0.442
kr,quiet_bottom,1w,binary,0.2,0.5,26,trail20_TP50_hold26,370,66.8,19.86,-95.9,5.98,4.91,242,48.8,10.18,-92.5,3.35,2.26,-0.44
kr,quiet_bottom,1w,binary,0.2,,26,trail20_TPoff_hold26,370,66.8,24.84,-96.2,5.03,5.89,242,48.8,14.35,-94.0,3.01,2.78,-0.402
kr,quiet_bottom,1w,binary,0.25,0.2,26,trail25_TP20_hold26,370,74.1,14.4,-94.1,6.25,4.04,242,57.4,8.74,-91.1,3.48,2.08,-0.443
kr,quiet_bottom,1w,binary,0.25,0.25,26,trail25_TP25_hold26,370,71.1,15.75,-94.1,6.22,4.12,242,53.7,9.53,-91.5,3.52,2.12,-0.434
kr,quiet_bottom,1w,binary,0.25,0.3,26,trail25_TP30_hold26,370,70.0,17.21,-95.7,6.28,4.34,242,52.1,10.15,-91.6,3.6,2.18,-0.427
kr,quiet_bottom,1w,binary,0.25,0.4,26,trail25_TP40_hold26,370,68.4,19.24,-94.6,6.3,4.69,242,50.8,11.52,-91.1,3.79,2.33,-0.398
kr,quiet_bottom,1w,binary,0.25,0.5,26,trail25_TP50_hold26,370,67.8,20.08,-97.7,5.99,4.82,242,50.8,11.32,-91.1,3.62,2.31,-0.396
kr,quiet_bottom,1w,binary,0.25,,26,trail25_TPoff_hold26,370,67.6,25.38,-97.9,5.1,5.81,242,50.8,15.02,-94.3,3.13,2.74,-0.386
kr,quiet_bottom,1w,binary,0.3,0.2,26,trail30_TP20_hold26,370,74.9,14.46,-94.4,6.19,4.01,242,59.9,9.92,-90.8,3.96,2.32,-0.36
kr,quiet_bottom,1w,binary,0.3,0.25,26,trail30_TP25_hold26,370,72.4,15.94,-94.4,6.24,4.15,242,57.4,11.12,-90.8,4.12,2.42,-0.34
kr,quiet_bottom,1w,binary,0.3,0.3,26,trail30_TP30_hold26,370,71.6,17.72,-94.7,6.28,4.45,242,57.0,12.22,-90.8,4.34,2.56,-0.309
kr,quiet_bottom,1w,binary,0.3,0.4,26,trail30_TP40_hold26,370,70.3,19.82,-94.1,6.33,4.77,242,56.2,13.65,-90.8,4.49,2.72,-0.291
kr,quiet_bottom,1w,binary,0.3,0.5,26,trail30_TP50_hold26,370,69.2,20.74,-97.2,6.02,4.89,242,55.8,14.15,-90.8,4.43,2.78,-0.264
kr,quiet_bottom,1w,binary,0.3,,26,trail30_TPoff_hold26,370,68.9,26.35,-97.0,5.1,5.92,242,55.8,19.08,-95.1,3.75,3.4,-0.265
kr,quiet_bottom,1w,binary,0.1,0.2,52,trail10_TP20_hold52,370,60.3,10.48,-92.9,4.81,3.46,242,46.3,6.47,-85.9,2.94,2.03,-0.389
kr,quiet_bottom,1w,binary,0.1,0.25,52,trail10_TP25_hold52,370,59.7,11.33,-92.9,4.84,3.65,242,45.5,6.93,-85.9,2.99,2.1,-0.382
kr,quiet_bottom,1w,binary,0.1,0.3,52,trail10_TP30_hold52,370,59.7,11.87,-94.7,4.74,3.78,242,45.0,7.07,-85.9,2.99,2.13,-0.369
kr,quiet_bottom,1w,binary,0.1,0.4,52,trail10_TP40_hold52,370,59.5,12.74,-94.7,4.68,3.98,242,45.0,7.32,-85.9,2.97,2.17,-0.365
kr,quiet_bottom,1w,binary,0.1,0.5,52,trail10_TP50_hold52,370,59.5,13.52,-94.7,4.61,4.16,242,45.0,6.97,-85.9,2.81,2.11,-0.39
kr,quiet_bottom,1w,binary,0.1,,52,trail10_TPoff_hold52,370,59.5,18.2,-94.7,4.06,5.25,242,45.0,8.49,-85.9,2.2,2.35,-0.458
kr,quiet_bottom,1w,binary,0.15,0.2,52,trail15_TP20_hold52,370,65.7,13.75,-95.2,5.91,3.87,242,49.2,7.82,-89.7,3.29,2.06,-0.443
kr,quiet_bottom,1w,binary,0.15,0.25,52,trail15_TP25_hold52,370,63.8,15.25,-95.2,6.02,4.17,242,45.9,8.87,-93.6,3.45,2.19,-0.427
kr,quiet_bottom,1w,binary,0.15,0.3,52,trail15_TP30_hold52,370,63.8,16.13,-95.7,5.91,4.35,242,45.5,9.02,-93.6,3.42,2.21,-0.421
kr,quiet_bottom,1w,binary,0.15,0.4,52,trail15_TP40_hold52,370,63.5,17.76,-95.2,5.85,4.68,242,45.5,9.49,-92.0,3.4,2.27,-0.419
kr,quiet_bottom,1w,binary,0.15,0.5,52,trail15_TP50_hold52,370,63.5,19.62,-95.4,5.78,5.06,242,45.5,8.58,-92.0,3.08,2.15,-0.467
kr,quiet_bottom,1w,binary,0.15,,52,trail15_TPoff_hold52,370,63.5,24.17,-96.9,4.86,6.01,242,45.5,10.05,-93.6,2.35,2.34,-0.516
kr,quiet_bottom,1w,binary,0.2,0.2,52,trail20_TP20_hold52,370,73.5,16.0,-96.7,6.76,4.27,242,57.9,10.26,-90.8,4.18,2.4,-0.382
kr,quiet_bottom,1w,binary,0.2,0.25,52,trail20_TP25_hold52,370,68.6,17.57,-96.7,6.75,4.44,242,53.7,11.45,-91.0,4.3,2.51,-0.363
kr,quiet_bottom,1w,binary,0.2,0.3,52,trail20_TP30_hold52,370,65.7,19.29,-97.3,6.7,4.7,242,53.3,12.27,-90.8,4.41,2.62,-0.342
kr,quiet_bottom,1w,binary,0.2,0.4,52,trail20_TP40_hold52,370,64.6,22.27,-97.0,6.8,5.23,242,52.9,13.21,-90.8,4.4,2.74,-0.353
kr,quiet_bottom,1w,binary,0.2,0.5,52,trail20_TP50_hold52,370,64.6,24.85,-97.2,6.7,5.72,242,52.9,12.84,-90.8,4.15,2.69,-0.381
kr,quiet_bottom,1w,binary,0.2,,52,trail20_TPoff_hold52,370,64.6,33.9,-97.9,4.09,7.44,242,52.9,25.45,-93.0,3.2,4.36,-0.218
kr,quiet_bottom,1w,binary,0.25,0.2,52,trail25_TP20_hold52,370,78.1,16.97,-97.5,7.05,4.37,242,63.6,11.37,-91.5,4.52,2.52,-0.359
kr,quiet_bottom,1w,binary,0.25,0.25,52,trail25_TP25_hold52,370,73.5,18.42,-97.5,6.89,4.3,242,59.5,12.35,-91.5,4.51,2.54,-0.345
kr,quiet_bottom,1w,binary,0.25,0.3,52,trail25_TP30_hold52,370,70.0,20.31,-98.0,6.86,4.48,242,58.3,13.3,-91.5,4.66,2.65,-0.321
kr,quiet_bottom,1w,binary,0.25,0.4,52,trail25_TP40_hold52,370,66.5,23.17,-97.7,6.86,4.84,242,56.6,15.36,-91.5,4.93,2.89,-0.281
kr,quiet_bottom,1w,binary,0.25,0.5,52,trail25_TP50_hold52,370,64.6,24.94,-98.9,6.47,5.0,242,56.6,14.83,-93.9,4.6,2.83,-0.289
kr,quiet_bottom,1w,binary,0.25,,52,trail25_TPoff_hold52,370,64.1,32.64,-99.2,3.95,6.21,242,56.6,27.95,-95.9,3.44,4.44,-0.129
kr,quiet_bottom,1w,binary,0.3,0.2,52,trail30_TP20_hold52,370,78.9,16.91,-98.0,6.62,4.07,242,67.4,13.06,-91.3,5.25,2.94,-0.207
kr,quiet_bottom,1w,binary,0.3,0.25,52,trail30_TP25_hold52,370,74.6,18.51,-98.0,6.61,4.1,242,64.5,14.49,-91.3,5.34,3.01,-0.192
kr,quiet_bottom,1w,binary,0.3,0.3,52,trail30_TP30_hold52,370,71.6,20.7,-98.7,6.61,4.33,242,64.5,15.83,-91.3,5.6,3.19,-0.153
kr,quiet_bottom,1w,binary,0.3,0.4,52,trail30_TP40_hold52,370,68.4,23.74,-98.0,6.73,4.64,242,63.2,17.91,-91.3,5.78,3.43,-0.141
kr,quiet_bottom,1w,binary,0.3,0.5,52,trail30_TP50_hold52,370,64.9,25.71,-99.3,6.43,4.8,242,62.4,18.6,-91.3,5.65,3.52,-0.121
kr,quiet_bottom,1w,binary,0.3,,52,trail30_TPoff_hold52,370,63.5,32.75,-99.5,3.93,5.8,242,62.4,35.99,-95.6,3.72,5.88,-0.053
us,quiet_bottom,1w,binary,0.1,0.2,13,trail10_TP20_hold13,251,48.6,4.86,-95.8,1.73,1.75,155,57.4,9.74,-91.3,3.41,2.8,0.971
us,quiet_bottom,1w,binary,0.1,0.25,13,trail10_TP25_hold13,251,48.6,5.01,-95.8,1.72,1.78,155,56.1,10.93,-91.3,3.55,2.98,1.064
us,quiet_bottom,1w,binary,0.1,0.3,13,trail10_TP30_hold13,251,48.6,5.29,-97.0,1.76,1.82,155,56.1,11.03,-91.3,3.48,3.0,0.977
us,quiet_bottom,1w,binary,0.1,0.4,13,trail10_TP40_hold13,251,48.6,5.72,-97.5,1.8,1.88,155,56.1,12.09,-91.3,3.57,3.19,0.983
us,quiet_bottom,1w,binary,0.1,0.5,13,trail10_TP50_hold13,251,48.6,6.18,-97.5,1.79,1.96,155,56.1,12.85,-91.3,3.61,3.32,1.017
us,quiet_bottom,1w,binary,0.1,,13,trail10_TPoff_hold13,251,48.6,7.04,-97.5,1.43,2.09,155,56.1,18.38,-91.3,3.4,4.32,1.378
us,quiet_bottom,1w,binary,0.15,0.2,13,trail15_TP20_hold13,251,53.4,5.65,-97.9,1.91,1.79,155,61.3,10.46,-91.0,3.6,2.81,0.885
us,quiet_bottom,1w,binary,0.15,0.25,13,trail15_TP25_hold13,251,52.2,6.0,-97.9,1.92,1.83,155,59.4,11.84,-91.0,3.77,2.99,0.964
us,quiet_bottom,1w,binary,0.15,0.3,13,trail15_TP30_hold13,251,52.2,6.32,-98.5,1.96,1.88,155,58.7,11.9,-91.0,3.66,2.98,0.867
us,quiet_bottom,1w,binary,0.15,0.4,13,trail15_TP40_hold13,251,52.2,7.09,-98.7,2.07,1.99,155,58.7,13.18,-91.0,3.77,3.19,0.821
us,quiet_bottom,1w,binary,0.15,0.5,13,trail15_TP50_hold13,251,52.2,7.71,-98.7,2.07,2.07,155,58.7,13.4,-91.0,3.67,3.23,0.773
us,quiet_bottom,1w,binary,0.15,,13,trail15_TPoff_hold13,251,52.2,8.57,-98.8,1.73,2.19,155,58.7,19.62,-91.0,3.51,4.26,1.029
us,quiet_bottom,1w,binary,0.2,0.2,13,trail20_TP20_hold13,251,57.8,6.63,-95.7,2.2,1.95,155,66.5,11.89,-91.0,4.08,3.2,0.855
us,quiet_bottom,1w,binary,0.2,0.25,13,trail20_TP25_hold13,251,55.4,7.12,-95.0,2.23,2.0,155,63.9,13.21,-91.0,4.2,3.36,0.883
us,quiet_bottom,1w,binary,0.2,0.3,13,trail20_TP30_hold13,251,54.6,7.37,-97.6,2.24,2.02,155,61.3,14.26,-91.0,4.23,3.48,0.888
us,quiet_bottom,1w,binary,0.2,0.4,13,trail20_TP40_hold13,251,53.8,8.08,-98.2,2.3,2.12,155,61.3,15.5,-91.0,4.31,3.69,0.874
us,quiet_bottom,1w,binary,0.2,0.5,13,trail20_TP50_hold13,251,53.8,8.5,-98.8,2.24,2.18,155,61.3,16.21,-91.0,4.29,3.82,0.915
us,quiet_bottom,1w,binary,0.2,,13,trail20_TPoff_hold13,251,53.8,8.53,-98.8,1.74,2.18,155,61.3,22.47,-91.0,3.97,4.9,1.282
us,quiet_bottom,1w,binary,0.25,0.2,13,trail25_TP20_hold13,251,58.2,6.41,-97.5,2.09,1.89,155,67.7,11.96,-91.0,4.07,3.21,0.947
us,quiet_bottom,1w,binary,0.25,0.25,13,trail25_TP25_hold13,251,56.2,6.9,-97.1,2.13,1.94,155,65.2,13.21,-91.0,4.17,3.32,0.958
us,quiet_bottom,1w,binary,0.25,0.3,13,trail25_TP30_hold13,251,55.4,7.16,-98.6,2.14,1.96,155,63.2,14.34,-91.0,4.23,3.46,0.977
us,quiet_bottom,1w,binary,0.25,0.4,13,trail25_TP40_hold13,251,54.6,7.88,-99.0,2.21,2.05,155,63.2,15.58,-91.0,4.31,3.67,0.95
us,quiet_bottom,1w,binary,0.25,0.5,13,trail25_TP50_hold13,251,54.6,8.4,-99.3,2.19,2.12,155,63.2,16.3,-91.0,4.3,3.79,0.963
us,quiet_bottom,1w,binary,0.25,,13,trail25_TPoff_hold13,251,54.2,8.3,-99.3,1.68,2.11,155,63.2,22.14,-91.0,3.92,4.79,1.333
us,quiet_bottom,1w,binary,0.3,0.2,13,trail30_TP20_hold13,251,59.4,6.77,-97.2,2.22,1.97,155,68.4,12.23,-91.0,4.18,3.32,0.883
us,quiet_bottom,1w,binary,0.3,0.25,13,trail30_TP25_hold13,251,57.8,7.29,-96.7,2.26,2.02,155,67.1,13.79,-91.0,4.37,3.5,0.934
us,quiet_bottom,1w,binary,0.3,0.3,13,trail30_TP30_hold13,251,57.0,7.67,-98.4,2.29,2.06,155,65.2,14.72,-91.0,4.33,3.52,0.891
us,quiet_bottom,1w,binary,0.3,0.4,13,trail30_TP40_hold13,251,56.6,8.49,-98.6,2.38,2.17,155,65.2,15.96,-91.0,4.41,3.73,0.853
us,quiet_bottom,1w,binary,0.3,0.5,13,trail30_TP50_hold13,251,56.6,9.02,-99.0,2.34,2.24,155,64.5,16.8,-91.0,4.42,3.86,0.889
us,quiet_bottom,1w,binary,0.3,,13,trail30_TPoff_hold13,251,56.2,8.19,-99.1,1.81,2.13,155,63.9,22.7,-91.0,4.0,4.86,1.21
us,quiet_bottom,1w,binary,0.1,0.2,26,trail10_TP20_hold26,251,50.2,7.24,-87.2,2.56,2.24,155,57.4,11.29,-88.8,3.81,3.18,0.488
us,quiet_bottom,1w,binary,0.1,0.25,26,trail10_TP25_hold26,251,49.8,7.28,-88.5,2.46,2.24,155,55.5,12.52,-88.8,3.93,3.36,0.598
us,quiet_bottom,1w,binary,0.1,0.3,26,trail10_TP30_hold26,251,49.8,7.93,-88.5,2.54,2.35,155,55.5,12.43,-88.8,3.8,3.34,0.496
us,quiet_bottom,1w,binary,0.1,0.4,26,trail10_TP40_hold26,251,49.8,8.32,-88.5,2.5,2.42,155,55.5,13.44,-88.8,3.85,3.53,0.54
us,quiet_bottom,1w,binary,0.1,0.5,26,trail10_TP50_hold26,251,49.8,8.91,-88.5,2.45,2.52,155,55.5,13.73,-88.8,3.78,3.59,0.543
us,quiet_bottom,1w,binary,0.1,,26,trail10_TPoff_hold26,251,49.8,10.01,-90.6,1.91,2.71,155,55.5,20.56,-88.8,3.39,4.87,0.775
us,quiet_bottom,1w,binary,0.15,0.2,26,trail15_TP20_hold26,251,57.4,9.29,-88.0,3.1,2.45,155,55.5,11.15,-90.2,3.6,2.7,0.161
us,quiet_bottom,1w,binary,0.15,0.25,26,trail15_TP25_hold26,251,55.8,9.49,-88.0,2.98,2.46,155,52.3,12.67,-90.2,3.78,2.86,0.268
us,quiet_bottom,1w,binary,0.15,0.3,26,trail15_TP30_hold26,251,55.4,10.31,-89.7,3.07,2.59,155,51.6,12.61,-90.2,3.63,2.84,0.182
us,quiet_bottom,1w,binary,0.15,0.4,26,trail15_TP40_hold26,251,55.4,11.18,-91.4,3.07,2.72,155,51.6,14.15,-90.2,3.76,3.06,0.225
us,quiet_bottom,1w,binary,0.15,0.5,26,trail15_TP50_hold26,251,55.4,11.87,-91.4,2.99,2.83,155,51.6,14.02,-90.2,3.59,3.04,0.201
us,quiet_bottom,1w,binary,0.15,,26,trail15_TPoff_hold26,251,55.4,14.71,-91.4,2.36,3.27,155,51.6,18.13,-92.4,3.15,3.64,0.335
us,quiet_bottom,1w,binary,0.2,0.2,26,trail20_TP20_hold26,251,63.7,10.38,-85.1,3.36,2.58,155,63.9,13.26,-92.0,4.18,3.01,0.244
us,quiet_bottom,1w,binary,0.2,0.25,26,trail20_TP25_hold26,251,59.4,10.7,-85.1,3.23,2.57,155,59.4,14.94,-92.7,4.35,3.16,0.347
us,quiet_bottom,1w,binary,0.2,0.3,26,trail20_TP30_hold26,251,57.4,11.49,-85.1,3.27,2.65,155,56.1,15.88,-95.1,4.35,3.24,0.33
us,quiet_bottom,1w,binary,0.2,0.4,26,trail20_TP40_hold26,251,56.2,12.6,-87.7,3.3,2.8,155,54.8,17.57,-93.8,4.41,3.47,0.336
us,quiet_bottom,1w,binary,0.2,0.5,26,trail20_TP50_hold26,251,56.2,12.91,-93.2,3.12,2.85,155,54.8,17.87,-94.9,4.28,3.52,0.372
us,quiet_bottom,1w,binary,0.2,,26,trail20_TPoff_hold26,251,56.2,14.13,-93.2,2.28,3.02,155,54.8,21.38,-97.2,3.57,4.01,0.566
us,quiet_bottom,1w,binary,0.25,0.2,26,trail25_TP20_hold26,251,66.9,10.98,-91.0,3.45,2.67,155,67.1,13.7,-89.5,4.3,3.11,0.246
us,quiet_bottom,1w,binary,0.25,0.25,26,trail25_TP25_hold26,251,62.9,11.33,-89.3,3.32,2.62,155,63.9,15.46,-89.5,4.47,3.25,0.346
us,quiet_bottom,1w,binary,0.25,0.3,26,trail25_TP30_hold26,251,61.4,12.19,-92.2,3.38,2.71,155,60.6,16.22,-92.3,4.4,3.24,0.302
us,quiet_bottom,1w,binary,0.25,0.4,26,trail25_TP40_hold26,251,59.8,13.4,-94.2,3.42,2.87,155,56.8,17.56,-90.2,4.36,3.36,0.275
us,quiet_bottom,1w,binary,0.25,0.5,26,trail25_TP50_hold26,251,59.0,13.59,-96.8,3.2,2.89,155,56.1,18.0,-91.6,4.25,3.41,0.328
us,quiet_bottom,1w,binary,0.25,,26,trail25_TPoff_hold26,251,58.6,14.22,-96.8,2.27,2.98,155,56.1,23.88,-95.6,3.52,4.2,0.551
us,quiet_bottom,1w,binary,0.3,0.2,26,trail30_TP20_hold26,251,68.9,11.81,-94.7,3.74,2.9,155,69.0,14.24,-91.0,4.49,3.31,0.201
us,quiet_bottom,1w,binary,0.3,0.25,26,trail30_TP25_hold26,251,65.7,12.37,-93.7,3.65,2.89,155,67.1,16.49,-90.3,4.8,3.54,0.315
us,quiet_bottom,1w,binary,0.3,0.3,26,trail30_TP30_hold26,251,64.5,13.7,-95.4,3.75,3.04,155,64.5,17.36,-95.3,4.7,3.48,0.253
us,quiet_bottom,1w,binary,0.3,0.4,26,trail30_TP40_hold26,251,63.3,14.95,-96.5,3.77,3.19,155,61.3,19.15,-93.5,4.72,3.62,0.252
us,quiet_bottom,1w,binary,0.3,0.5,26,trail30_TP50_hold26,251,61.0,15.62,-97.0,3.6,3.26,155,59.4,20.05,-93.7,4.66,3.7,0.294
us,quiet_bottom,1w,binary,0.3,,26,trail30_TPoff_hold26,251,59.4,15.83,-97.2,2.53,3.21,155,58.7,25.84,-96.9,3.7,4.48,0.462
us,quiet_bottom,1w,binary,0.1,0.2,52,trail10_TP20_hold52,251,51.4,7.45,-90.6,2.59,2.28,155,59.4,12.94,-82.0,4.51,4.05,0.741
us,quiet_bottom,1w,binary,0.1,0.25,52,trail10_TP25_hold52,251,51.0,7.47,-90.6,2.49,2.27,155,57.4,14.11,-82.0,4.56,4.22,0.831
us,quiet_bottom,1w,binary,0.1,0.3,52,trail10_TP30_hold52,251,51.0,8.12,-91.8,2.57,2.38,155,57.4,13.84,-83.2,4.35,4.16,0.693
us,quiet_bottom,1w,binary,0.1,0.4,52,trail10_TP40_hold52,251,51.0,8.15,-93.2,2.44,2.39,155,57.4,14.79,-83.2,4.35,4.38,0.783
us,quiet_bottom,1w,binary,0.1,0.5,52,trail10_TP50_hold52,251,51.0,8.63,-93.2,2.37,2.47,155,57.4,15.09,-86.1,4.26,4.44,0.797
us,quiet_bottom,1w,binary,0.1,,52,trail10_TPoff_hold52,251,51.0,10.7,-93.2,1.8,2.82,155,57.4,21.89,-87.8,3.7,6.0,1.056
us,quiet_bottom,1w,binary,0.15,0.2,52,trail15_TP20_hold52,251,59.0,9.84,-95.0,3.22,2.52,155,56.8,12.65,-90.5,4.19,3.23,0.301
us,quiet_bottom,1w,binary,0.15,0.25,52,trail15_TP25_hold52,251,57.4,10.31,-95.0,3.16,2.57,155,53.5,14.11,-91.4,4.31,3.38,0.364
us,quiet_bottom,1w,binary,0.15,0.3,52,trail15_TP30_hold52,251,57.0,11.3,-96.0,3.27,2.72,155,51.6,13.62,-93.2,4.01,3.27,0.226
us,quiet_bottom,1w,binary,0.15,0.4,52,trail15_TP40_hold52,251,57.0,12.1,-96.6,3.23,2.84,155,51.6,15.16,-90.2,4.1,3.53,0.269
us,quiet_bottom,1w,binary,0.15,0.5,52,trail15_TP50_hold52,251,57.0,12.92,-96.6,3.13,2.96,155,51.6,14.73,-93.8,3.84,3.45,0.227
us,quiet_bottom,1w,binary,0.15,,52,trail15_TPoff_hold52,251,57.0,19.17,-96.6,2.5,3.91,155,51.6,18.15,-95.9,3.29,4.02,0.316
us,quiet_bottom,1w,binary,0.2,0.2,52,trail20_TP20_hold52,251,65.3,11.01,-92.3,3.45,2.58,155,66.5,15.89,-94.7,5.07,3.75,0.47
us,quiet_bottom,1w,binary,0.2,0.25,52,trail20_TP25_hold52,251,59.8,11.72,-92.3,3.41,2.6,155,61.3,17.72,-95.2,5.2,3.9,0.525
us,quiet_bottom,1w,binary,0.2,0.3,52,trail20_TP30_hold52,251,56.6,12.85,-92.3,3.5,2.72,155,55.5,18.08,-96.8,4.96,3.83,0.417
us,quiet_bottom,1w,binary,0.2,0.4,52,trail20_TP40_hold52,251,55.4,13.51,-93.4,3.38,2.8,155,54.2,20.07,-95.9,5.03,4.13,0.488
us,quiet_bottom,1w,binary,0.2,0.5,52,trail20_TP50_hold52,251,55.4,14.17,-95.7,3.22,2.89,155,54.2,20.51,-96.6,4.84,4.2,0.503
us,quiet_bottom,1w,binary,0.2,,52,trail20_TPoff_hold52,251,55.4,18.52,-94.7,2.41,3.47,155,54.2,22.87,-98.2,3.9,4.57,0.618
us,quiet_bottom,1w,binary,0.25,0.2,52,trail25_TP20_hold52,251,70.5,12.38,-96.3,3.78,2.79,155,73.5,17.0,-93.6,5.42,4.03,0.434
us,quiet_bottom,1w,binary,0.25,0.25,52,trail25_TP25_hold52,251,65.3,13.07,-95.6,3.69,2.75,155,70.3,19.29,-93.2,5.67,4.22,0.537
us,quiet_bottom,1w,binary,0.25,0.3,52,trail25_TP30_hold52,251,60.6,13.72,-95.8,3.63,2.76,155,64.5,19.46,-95.2,5.31,3.95,0.463
us,quiet_bottom,1w,binary,0.25,0.4,52,trail25_TP40_hold52,251,56.6,14.52,-96.9,3.52,2.84,155,60.0,21.34,-93.9,5.28,4.11,0.5
us,quiet_bottom,1w,binary,0.25,0.5,52,trail25_TP50_hold52,251,55.8,15.05,-98.0,3.31,2.9,155,58.7,22.48,-93.8,5.18,4.27,0.565
us,quiet_bottom,1w,binary,0.25,,52,trail25_TPoff_hold52,251,55.4,21.77,-97.5,2.26,3.75,155,58.1,39.72,-97.1,3.74,6.77,0.655
us,quiet_bottom,1w,binary,0.3,0.2,52,trail30_TP20_hold52,251,73.3,12.91,-97.8,3.86,2.83,155,74.8,17.14,-95.6,5.39,3.98,0.396
us,quiet_bottom,1w,binary,0.3,0.25,52,trail30_TP25_hold52,251,70.1,14.29,-97.4,3.96,2.9,155,72.9,19.92,-94.9,5.81,4.26,0.467
us,quiet_bottom,1w,binary,0.3,0.3,52,trail30_TP30_hold52,251,66.9,15.73,-97.5,4.0,2.97,155,67.7,20.06,-97.5,5.36,3.84,0.34
us,quiet_bottom,1w,binary,0.3,0.4,52,trail30_TP40_hold52,251,62.2,16.83,-98.3,3.86,3.0,155,63.9,22.35,-96.5,5.39,3.99,0.396
us,quiet_bottom,1w,binary,0.3,0.5,52,trail30_TP50_hold52,251,58.2,18.71,-99.0,3.77,3.19,155,60.0,23.95,-96.5,5.32,4.12,0.411
us,quiet_bottom,1w,binary,0.3,,52,trail30_TPoff_hold52,251,55.4,21.92,-98.9,2.39,3.48,155,58.1,42.37,-99.1,3.68,6.48,0.54
