date,개인,외국인,기관계,금융투자,보험,투신,기타금융,은행,연기금등,기타법인,기관_합산검산,기관_차이
2025-11-13,-2343,9989,-7179,-7435,9,-62,-20,55,275,-468,-7178,-1
2025-11-14,32346,-23575,-9005,-6552,59,-2452,-55,61,-67,234,-9006,1
2025-11-17,-5000,5189,-245,60,-76,338,22,-121,-467,56,-244,-1
2025-11-18,12382,-5500,-6788,-4287,31,-1946,-63,70,-594,-94,-6789,1
2025-11-19,4450,-10495,6256,4611,-90,1611,1,64,59,-211,6256,0
2025-11-20,-13817,7406,7566,7476,-34,294,54,90,-314,-1155,7566,0
2025-11-21,22695,-28229,4935,4115,159,-168,-3,-19,851,599,4935,0
2025-11-24,-4619,-7993,12719,11095,-137,1913,0,75,-228,-107,12718,1
2025-11-25,-276,49,315,197,102,559,-17,87,-611,-89,317,-2
2025-11-26,-18048,5158,12280,10376,-34,1625,-121,72,362,611,12280,0
2025-11-27,-6152,1546,4326,3261,-75,1107,-34,72,-6,281,4325,1
2025-11-28,15685,-20369,4587,8392,-384,-2106,-7,60,-1367,97,4588,-1
2025-12-01,528,2235,-2333,-689,-99,-498,-102,18,-962,-431,-2332,-1
2025-12-02,-15763,12147,3929,2475,-22,925,-168,11,708,-313,3929,0
2025-12-03,-8984,2816,7364,4873,144,1948,-7,-220,627,-1196,7365,-1
2025-12-04,5585,-6960,1318,1071,-42,-170,-81,18,522,56,1318,0
2025-12-05,-21156,9934,11528,8490,61,2818,53,48,58,-305,11528,0
2025-12-08,-3449,3211,-308,-1408,-210,1483,-43,24,-153,546,-307,-1
2025-12-09,-133,-889,494,-983,-149,714,3,-87,996,528,494,0
2025-12-10,-889,3739,-3003,-1023,-601,-1502,-35,1,157,153,-3003,0
2025-12-11,3922,3656,-7753,-6882,-233,-359,34,-140,-174,174,-7754,1
2025-12-12,-14625,414,14184,14387,-118,-998,15,6,892,27,14184,0
2025-12-15,14210,-9569,-4803,-3920,-83,-1950,-11,-5,1166,161,-4803,0
2025-12-16,12410,-10305,-2309,1481,-606,-3258,-67,3,137,204,-2310,1
2025-12-17,-3374,-322,3353,3794,50,-231,29,-4,-287,343,3351,2
2025-12-18,4130,-3459,-1006,1563,-233,-1473,-5,-11,-846,336,-1005,-1
2025-12-19,-1412,-7573,8541,9642,-468,84,-4,-300,-412,444,8542,-1
2025-12-22,-26714,11017,16055,16221,-231,-131,7,-41,228,-357,16053,2
2025-12-23,-12853,9551,3527,5333,-299,-1127,-20,14,-374,-225,3527,0
2025-12-24,-7171,5225,2039,2523,-82,-725,5,-9,327,-93,2039,0
2025-12-26,-23265,17790,4435,5293,-243,535,-14,-161,-975,1039,4435,0
2025-12-29,661,3337,-3133,-3636,-557,704,-7,-16,379,-865,-3133,0
2025-12-30,8448,-4768,-3763,-2290,-76,-330,23,-7,-1084,83,-3764,1
2026-01-02,-4252,6309,-2477,-1138,-615,-517,73,-84,-196,419,-2477,0
2026-01-05,-15141,21726,-7046,-508,-1525,-3486,85,-47,-1564,461,-7045,-1
2026-01-06,5963,-6184,-664,1697,-243,-1406,66,-54,-724,886,-664,0
2026-01-07,-2944,12548,-9397,-3594,-1453,-3499,64,32,-947,-207,-9397,0
2026-01-08,12540,-979,-14014,-8547,-463,-3524,12,19,-1510,2453,-14013,-1
2026-01-09,1339,-16068,12046,11654,-505,239,127,3,527,2683,12045,1
2026-01-12,-1013,-3512,2101,5682,-1337,-1706,45,-82,-501,2425,2101,0
2026-01-13,-7125,-2793,7881,7769,-821,796,104,12,22,2037,7882,-1
2026-01-14,-4377,-3760,5887,6045,-396,25,-2,66,149,2250,5887,0
2026-01-15,-18235,3450,12905,14577,-281,-965,-59,-55,-312,1880,12905,0
2026-01-16,-9383,4350,3083,5114,-789,-282,-10,-49,-901,1949,3083,0
2026-01-19,-7513,5532,-256,2054,-490,-669,32,5,-1188,2237,-256,0
2026-01-20,3524,1232,-6500,-2089,-367,-2235,34,-114,-1729,1744,-6500,0
2026-01-21,-9965,4394,3217,2946,-230,1068,-59,55,-564,2355,3216,1
2026-01-22,1555,-2432,-1568,3161,-1922,-790,16,16,-2049,2445,-1568,0
2026-01-23,-7239,1438,4790,9290,-189,-1492,-69,-30,-2719,1012,4791,-1
2026-01-26,17157,-1588,-15414,-9528,-340,-3569,-75,-172,-1730,-154,-15414,0
2026-01-27,-10197,8448,2474,5695,-706,-2047,87,17,-572,-725,2474,0
2026-01-28,12131,4008,-14021,-5710,-1414,-3815,80,-2261,-900,-2118,-14020,-1
2026-01-29,16173,-14897,-1673,1569,-714,-1166,13,-178,-1197,397,-1673,0
2026-01-30,22979,-19729,-4241,-309,-1418,-2185,140,-162,-307,991,-4241,0
2026-02-02,45874,-25168,-22125,-21755,522,-709,-6,222,-399,1419,-22125,0
2026-02-03,-29423,7038,21708,14513,-139,5880,21,474,958,677,21707,1
2026-02-04,-10119,-9413,17836,14945,-234,2572,177,86,290,1695,17836,0
2026-02-05,67791,-50108,-20693,-18829,332,-1419,209,-2,-985,3010,-20694,1
2026-02-06,21736,-33233,9414,5782,239,1899,212,-42,1323,2083,9413,1
2026-02-09,-32947,4320,27123,24244,-428,4265,-95,0,-863,1504,27123,0
2026-02-10,-8780,1474,5643,7442,-249,-618,-50,95,-977,1663,5643,0
2026-02-11,-17149,8461,6927,5223,-332,2188,-2,112,-263,1761,6926,1
2026-02-12,-44547,29954,13800,10816,-815,2718,201,158,722,793,13800,0
2026-02-13,7141,-9220,831,1810,-688,-897,-26,69,563,1248,831,0
2026-02-19,-8609,-9396,16542,16691,-1452,1100,-27,77,154,1463,16543,-1
2026-02-20,-9872,-7420,16149,19351,-739,-972,3,-72,-1422,1143,16149,0
2026-02-23,10815,-11132,-1271,5330,-1600,-2279,-20,-16,-2685,1588,-1270,-1
2026-02-24,-22861,-2013,23773,26669,-466,-1683,15,-44,-718,1102,23773,0
2026-02-25,2307,-13082,14701,19937,-1314,-4730,-6,65,750,-3926,14702,-1
2026-02-26,6498,-21135,12569,16371,-2084,-756,-100,119,-981,2068,12569,0
2026-02-27,62496,-70528,5666,11043,-654,-2544,-5,109,-2283,2366,5666,0
2026-03-03,57974,-51487,-8859,-7283,425,-1904,-305,-204,412,2372,-8859,0
2026-03-04,796,2303,-5978,-5830,600,209,-223,-7,-727,2880,-5978,0
2026-03-05,18228,-1446,-17186,-12234,-652,-2520,-720,-189,-872,403,-17187,1
2026-03-06,29488,-19418,-11142,-5975,-273,-3625,47,432,-1748,1072,-11142,0
2026-03-09,46242,-31735,-15441,-11713,111,-2954,-174,310,-1020,934,-15440,-1
2026-03-10,-18340,10283,9164,7448,-447,1956,26,275,-93,-1107,9165,-1
2026-03-11,-5086,-2563,7821,7254,-269,1425,94,211,-893,-173,7822,-1
2026-03-12,22291,-23831,775,-746,125,1812,12,-53,-374,764,776,-1
2026-03-13,24512,-14502,-10434,-9500,13,-1482,32,218,285,424,-10434,0
2026-03-16,7164,-8485,911,-1040,135,1164,-13,253,412,411,911,0
2026-03-17,-5752,-1740,7341,4274,-472,2543,-14,167,843,152,7341,0
2026-03-18,-38717,8802,31093,30984,-452,-612,67,146,960,-1178,31093,0
2026-03-19,24116,-18760,-6649,-6655,30,417,38,170,-649,1294,-6649,0
2026-03-20,22338,-12402,-10260,4566,-14326,-1182,-8,84,606,323,-10260,0
2026-03-23,70029,-36751,-38173,-30239,159,-6649,64,108,-1617,4895,-38174,1
2026-03-24,7270,-19863,9683,10178,-320,-734,-12,136,435,2910,9683,0
2026-03-25,-13402,-12895,23230,23351,-312,-92,2,133,147,3067,23229,1
2026-03-26,30598,-29370,-2999,3185,76,-3811,-122,96,-2423,1771,-2999,0
2026-03-27,22596,-34286,7785,4181,436,3236,-10,170,-228,3905,7785,0
2026-03-30,8945,-20945,8450,7440,93,1674,-80,133,-812,3550,8448,2
2026-03-31,24400,-38386,10251,9477,453,528,-40,123,-291,3735,10250,1
2026-04-01,-37628,-6411,40419,34308,-136,6145,12,281,-192,3620,40418,1
2026-04-02,12097,-1368,-14517,-16900,279,1630,75,310,91,3788,-14515,-2
2026-04-03,-20952,8035,7390,2839,92,4960,28,28,-557,5527,7390,0
2026-04-06,-10502,-1596,8371,7597,99,1373,-135,288,-850,3726,8372,-1
2026-04-07,-3429,3704,-4001,-3918,127,310,33,265,-818,3726,-4001,0
2026-04-08,-54161,19089,27268,29960,-648,-148,60,126,-2083,7805,27267,1
2026-04-09,2950,18476,-25125,5040,334,368,-31117,201,49,3698,-25125,0
2026-04-10,-12280,10641,-2031,868,-215,-2196,-218,145,-416,3670,-2032,1
2026-04-13,7173,-4579,-6698,-4814,-295,-194,208,130,-1733,4104,-6698,0
2026-04-14,-23919,8276,12545,13513,-652,103,-129,-35,-256,3098,12544,1
2026-04-15,-9400,4973,368,8214,-1459,-5294,9,14,-1116,4059,368,0
2026-04-16,-18050,4814,10783,12460,-447,-772,-7,-153,-299,2453,10782,1
2026-04-17,14464,-19974,1501,4343,-622,-1253,-85,-125,-757,4009,1501,0
2026-04-20,-3158,-2338,2938,5183,-610,-1676,33,-72,80,2558,2938,0
2026-04-21,-19204,11565,9181,9753,-1056,117,-206,-50,622,-1541,9180,1
2026-04-22,11984,-6762,-4046,-4102,-270,-720,55,-5,995,-1176,-4047,1
2026-04-23,4514,-820,-2965,177,-1027,-2299,-14,1,197,-728,-2965,0
2026-04-24,11832,-19496,8053,10383,-409,-1332,-390,3,-202,-389,8053,0
2026-04-27,-19758,8563,11349,15492,-915,-1395,-145,82,-1771,-155,11348,1
2026-04-28,-1306,-1843,3532,6839,-1227,-1564,-267,29,-277,-383,3533,-1
2026-04-29,1681,-6071,4771,1646,129,3058,-26,-15,-21,-381,4771,0
2026-04-30,11824,-14559,2838,5089,-473,-2219,-32,123,350,-103,2838,0
2026-05-04,-47936,29308,20098,19159,-1221,2657,-79,89,-507,-1470,20098,0
2026-05-06,-5715,31085,-22894,-8284,-5084,-7843,-118,24,-1590,-2476,-22895,1
2026-05-07,59925,-66987,8917,17617,-806,-8154,-246,11,494,-1855,8916,1
2026-05-08,39707,-52967,12542,15166,-826,-1357,-6,67,-502,718,12542,0
2026-05-11,28669,-28147,-458,10028,-3964,-4006,20,412,-2948,-63,-458,0
2026-05-12,66818,-56090,-12138,-6205,-1420,-2476,-110,-70,-1857,1409,-12138,0
2026-05-13,15881,-26742,10027,6063,-97,1122,73,-303,3169,835,10027,0
